target,period
TIC22457438,0.3606758
TIC224605072,0.6648758
TIC224607716,0.5107739
TIC22481474,0.4403005
TIC229082842,0.3762035
TIC229143092,0.351034
TIC229412873,0.4184052
TIC229461186,0.4026659
TIC229676244,0.1059836
TIC229687624,0.6176007
TIC229741985,0.1739313
TIC229751802,0.5162551
TIC229766985,0.4313565
TIC229810745,0.4975237
TIC229864787,0.651009
TIC229914020,0.6760076
TIC230061567,0.28798
TIC230233157,0.5895456
TIC230386284,0.3414933
TIC230478637,0.6676539
TIC231048083,0.317909
TIC231075361,0.3197352
TIC23139612,0.4113067
TIC231629787,0.2665624
TIC231810776,0.2327289
TIC231833204,0.208977
TIC231922417,0.6872144
TIC231922739,0.3565535
TIC23221002,0.4452879
TIC232524483,0.372987
TIC232527356,0.3669901
TIC233043818,0.3708289
TIC233079659,0.2418013
TIC233169434,0.1757517
TIC233205987,0.3640697
TIC233208885,0.4937368
TIC233233639,0.4403065
TIC233574062,0.2995439
TIC233904049,0.3112479
TIC235000060,0.3577154
TIC235000061,0.3577153
TIC235385233,0.409656
TIC23559851,0.3248137
TIC236313673,0.4954296
TIC236327696,0.5888841
TIC236338880,0.5308225
TIC236537131,0.6311411
TIC236884425,0.1939255
TIC237114978,0.3240331
TIC237130278,0.4130443
TIC23753424,0.3455705
TIC237915523,0.3322736
TIC238892775,0.4826575
TIC239290086,0.3681596
TIC239309691,0.321014
TIC239661117,0.38353
TIC240122720,0.269378
TIC240706234,0.2336936
TIC240911239,0.4124257
TIC241078868,0.6867663
TIC241393039,0.3711218
TIC241578867,0.3441001
TIC242944454,0.4048724
TIC243319567,0.4392638
TIC243352373,0.3342969
TIC243352809,0.5124522
TIC244207973,0.6140578
TIC24450633,0.22867
TIC24586751,0.5128316
TIC24606516,0.4019809
TIC24733359,0.3785419
TIC248348545,0.1946039
TIC248394273,0.1485855
TIC248394276,0.1486144
TIC248399337,0.4319151
TIC251078096,0.5846354
TIC251094451,0.3631129
TIC251094451_2,0.3631136
TIC251829135,0.2686421
TIC251857120,0.5053431
TIC252668569,0.4629094
TIC252725557,0.3568422
TIC252949892,0.2553831
TIC253781040,0.2887024
TIC254003502,0.5914569
TIC254298146,0.3879395
TIC255586667,0.4064729
TIC255682622,0.3215756
TIC255904363,0.4190036
TIC255907472,0.3370433
TIC255993777,0.3085178
TIC256298934,0.5225054
TIC256352113,0.4680768
TIC256775514,0.2976541
TIC257002707,0.3770863
TIC257060367,0.526485
TIC257273424,0.3985663
TIC257525627,0.4566193
TIC258773798,0.3364697
TIC259864042,0.4607861
TIC259901124,0.4560838
TIC260162199,0.2680682
TIC260353841,0.4202732
TIC260541250,0.3359386
TIC260708271,0.3588283
TIC261089147,0.4616656
TIC262434790,0.3143965
TIC263035184,0.3033046
TIC263078276,0.2840349
TIC263925187,0.6662304
TIC264615805,0.1201045
TIC265015162,0.3278391
TIC26656583,0.5276908
TIC266769521,0.5361672
TIC266769522,0.536159
TIC266816672,0.3031493
TIC267043786,0.5948355
TIC268652258,0.2564874
TIC268686000,0.4454122
TIC268686130,0.4667023
TIC269342892,0.4488067
TIC269505148,0.5224015
TIC269697721,0.13717
TIC270219706,0.513098
TIC270288280,0.3057097
TIC270491862,0.4487965
TIC271013213,0.6195432
TIC271058763,0.1854963
TIC27112021,0.4079911
TIC271164763,0.1257648
TIC271550131,0.3549805
TIC271799672,0.3282683
TIC271999940,0.5642229
TIC272079818,0.4423686
TIC272176884,0.4177289
TIC272324340,0.4333571
TIC272839425,0.3602724
TIC272841995,0.4452789
TIC272846131,0.5926691
TIC273872891,0.6606801
TIC274039489,0.3052865
TIC274088422,0.3414905
TIC274676647,0.354332
TIC275697259,0.5792545
TIC275911914,0.3856278
TIC276105676,0.6586383
TIC276252961,0.1558772
TIC276836579,0.3814965
TIC277104322,0.2821634
TIC278822321,0.6391327
TIC278829112,0.2457785
TIC279254042,0.5968517
TIC279401848,0.3521565
TIC279481568,0.3165456
TIC279484342,0.6322016
TIC279615979,0.2407307
TIC279955276,0.5768497
TIC280033918,0.2787728
TIC280033934,0.2787725
TIC280794372,0.6877683
TIC281728276,0.2733184
TIC281948821,0.1121159
TIC282368998,0.5689828
TIC28306907,0.3453998
TIC28351918,0.5150875
TIC283819432,0.2678155
TIC284461108,0.3495299
TIC284703623,0.3879463
TIC284863911,0.3427999
TIC284891601,0.3102838
TIC285019418,0.1366069
TIC285181196,0.1926343
TIC286031430,0.3170016
TIC286036831,0.6319581
TIC286169068,0.4146188
TIC286169292,0.4404348
TIC286338346,0.3732684
TIC286900208,0.5399899
TIC286917658,0.3216191
TIC287095354,0.4789819
TIC287174076,0.3247485
TIC287175225,0.4859539
TIC288296337,0.559184
TIC288391801,0.3905846
TIC288778712,0.4988917
TIC289166536,0.4688123
TIC289716926,0.5909092
TIC289969374,0.2558883
TIC290032774,0.5778514
TIC290034099,0.5921833
TIC290170195,0.2089138
TIC290410988,0.2858823
TIC291320884,0.3717522
TIC292474331,0.3666917
TIC293066086,0.4654317
TIC293605127,0.1207862
TIC293619461,0.310655
TIC294059372,0.6667438
TIC294273900,0.4722803
TIC294784522,0.4956179
TIC296449358,0.3351379
TIC29706981,0.5228847
TIC29777922,0.5305975
TIC29778064,0.4946419
TIC298079609,0.495386
TIC298183671,0.56787
TIC298246821,0.3524517
TIC29848012,0.3491737
TIC298498697,0.1804254
TIC298559217,0.3301871
TIC30028394,0.4571032
TIC302627455,0.4332015
TIC302908037,0.4048561
TIC3034524,0.3574713
TIC30382918,0.5719608
TIC303833577,0.278512
TIC305167549,0.4528908
TIC305536347,0.5452216
TIC305536358,0.5464738
TIC305674644,0.3142173
TIC305675525,0.2965474
TIC306828113,0.4252819
TIC306987941,0.4710207
TIC307783750,0.5644946
TIC308018120,0.1905198
TIC308076113,0.2635613
TIC308457026,0.6439002
TIC309659126,0.2482701
TIC309809572,0.3268057
TIC310004006,0.6450414
TIC310169616,0.4116638
TIC310170498,0.3222297
TIC310519261,0.3188151
TIC311103813,0.5278588
TIC31118189,0.275773
TIC311431771,0.3473144
TIC311945765,0.4979736
TIC312160410,0.3023308
TIC312286761,0.5099985
TIC313025849,0.3209361
TIC314294022,0.6222627
TIC315810194,0.5433678
TIC315937374,0.6057959
TIC316250867,0.6851096
TIC31655792,0.4161053
TIC31690845,0.5995535
TIC31743416,0.6228886
